id,title,sources,source_subset,unit_of_analysis,x_definition,y_definition,encodings,n_definition,interpretation,limitations,row_count,distinct_cells,generated_at,png,svg,data,metadata
01_replicate_agreement,Bland–Altman replicate agreement,"[""aggregate_measurements.csv""]","Successful cells with exactly two fresh-container replicate medians (1,828 cells).",One distinct parameter cell represented by its two replicate medians.,"Arithmetic mean of replicate 1 and replicate 2 median latency, in milliseconds.",Signed replicate difference: 100 × (replicate 2 − replicate 1) / their mean.,Color is GPU; marker shape is suite; dashed horizontal lines mark ±10% disagreement.,"n is the number of distinct two-replicate cells, not timed iterations.",Points near zero reproduced closely; the sign only records replicate order and is not a treatment effect.,Two replicates reveal disagreement but provide limited information about the full run-to-run distribution.,1828,1828.0,2026-07-19T15:26:26.105604+00:00,figures/01_replicate_agreement.png,figures/01_replicate_agreement.svg,data/01_replicate_agreement.csv,metadata/01_replicate_agreement.json
02_attention_ecdf,Attention latency and tail ECDFs,"[""aggregate_measurements.csv"", ""case_measurements.csv""]","All 1,170 successful attention cells across the four observed runtime profiles.",One distinct successful attention parameter cell.,Left: cell median latency in ms. Right: the cell's p95 latency divided by its median latency.,Percentage of cells in that GPU/mode curve whose X value is at or below the plotted value.,Color is GPU and line style is forward versus training; each GPU/mode combination has one curve.,"n in each legend label is distinct cells in that curve, not sequence length or iteration count.","A curve farther left reaches the same cumulative percentage at a smaller value, within its sampled workload mix.","Curves contain different sampled configurations and are descriptive distributions, not controlled GPU or attention-type comparisons.",1170,1170.0,2026-07-19T15:26:27.058651+00:00,figures/02_attention_ecdf.png,figures/02_attention_ecdf.svg,data/02_attention_ecdf.csv,metadata/02_attention_ecdf.json
03_block_size_response,Matched block-size response,"[""aggregate_measurements.csv""]",The 42 successful windowed-attention pairs matched on every controlled axis except block size.,One exact two-block parameter match.,GPU family.,Numerator-block median latency divided by denominator-block median latency.,Panel identifies the block-size ratio; points are matches; black bars are within-GPU medians.,n is the number of exact block-size pairs in that panel (30 and 12; 42 total).,Below 1 means the numerator block is faster; above 1 means the denominator block is faster.,The two panels cover different workloads and no inference should chain their ratios into an unobserved 64-versus-128 comparison.,42,,2026-07-19T15:26:27.593068+00:00,figures/03_block_size_response.png,figures/03_block_size_response.svg,data/03_block_size_response.csv,metadata/03_block_size_response.json
04_memory_vs_gpu_time,Memory versus GPU time,"[""aggregate_measurements.csv"", ""case_measurements.csv""]",All 283 successful baseline attention cells with measured peak reserved memory.,One distinct baseline attention parameter cell.,"Peak CUDA reserved memory in GiB, on a log scale.","Cell median latency divided by batch size × sequence length, in ms per batch-token position, on a log scale.",Color is attention density; point area increases with sequence length; black outlines and connecting lines mark Pareto cells within one GPU/mode facet.,n in each facet is the number of distinct baseline attention cells on that GPU and mode; 283 cells total.,Lower-left cells use less reserved memory and less normalized GPU time; outlined points are not dominated on both axes within their facet.,"The normalization does not make training and forward equivalent, so Pareto dominance is never pooled across modes or GPUs.",283,283.0,2026-07-19T15:26:29.613508+00:00,figures/04_memory_vs_gpu_time.png,figures/04_memory_vs_gpu_time.svg,data/04_memory_vs_gpu_time.csv,metadata/04_memory_vs_gpu_time.json
05_runtime_profile_effects,Runtime-profile effects,"[""environment_effects.csv""]",All 849 successful profile-versus-baseline attention matches: 283 for each alternate compiler profile.,One controlled workload matched between an alternate runtime profile and baseline.,"Compiler profile: cache-disabled default compilation, reduce-overhead, or max-autotune without CUDA graphs.",100 × (profile median latency − baseline median latency) / baseline median latency.,Facet is GPU; each point is a match; boxes show quartiles and the within-profile median.,n is matched profile/baseline effects in that GPU facet; 849 effects total.,Negative values mean the alternate profile was faster than baseline; positive values mean it was slower.,Effects remain workload-specific even after matching; boxplot summaries do not establish one universal compiler winner.,849,849.0,2026-07-19T15:26:30.530999+00:00,figures/05_runtime_profile_effects.png,figures/05_runtime_profile_effects.svg,data/05_runtime_profile_effects.csv,metadata/05_runtime_profile_effects.json
06_hardware_portability,Hardware portability,"[""aggregate_measurements.csv""]","Only the 69 successful baseline attention workloads measured on A100-40GB, H100, and B200 with every non-hardware axis identical.",One complete three-GPU workload triplet.,A100 median latency divided by H100 median latency.,H100 median latency divided by B200 median latency.,Color is attention density; marker is mode; point area increases with sequence length; reference lines are ratio 1. Axes use logarithmic spacing but retain direct ratio labels.,"n is complete workload triplets, so each point summarizes three successful cells.",A ratio above 1 means the newer GPU on that axis is faster for the same workload.,The 69 complete triplets are the supported portability subset; no value is imputed for incomplete workload triples.,69,,2026-07-19T15:26:31.074994+00:00,figures/06_hardware_portability.png,figures/06_hardware_portability.svg,data/06_hardware_portability.csv,metadata/06_hardware_portability.json
07_single_moe_capacity_throughput,Single-GPU MoE capacity and throughput,"[""aggregate_measurements.csv""]",All 258 successful single-GPU MoE cells.,One distinct single-GPU MoE parameter cell.,"Configured number of experts, on a base-2 log scale.","Measured tokens per second, on a log scale.",Facet is GPU and execution mode; color is capacity factor; point area increases with token count; lines connect within-facet medians.,n is distinct single-GPU MoE cells in that GPU/mode facet; 258 cells total.,"Within a facet, vertical separation shows how throughput varies over sampled expert counts and capacity factors without mixing training with forward runs.","Routing variant, routing skew, token count, and model dimensions still vary within each facet, so lines are descriptive medians rather than isolated causal effects.",258,258.0,2026-07-19T15:26:33.377213+00:00,figures/07_single_moe_capacity_throughput.png,figures/07_single_moe_capacity_throughput.svg,data/07_single_moe_capacity_throughput.csv,metadata/07_single_moe_capacity_throughput.json
08_collective_bandwidth,Collective bandwidth,"[""aggregate_measurements.csv""]",All 216 successful collective microbenchmark cells: 108 all-reduce and 108 all-to-all.,One distinct collective × GPU × world-size × message-size × overlap cell.,"Payload bytes contributed by each rank, displayed as MiB per rank on a base-2 log scale.","Effective collective bandwidth in decimal GB/s, computed with collective-specific traffic factors.",Rows separate collective type; columns separate GPU; color is world size; dashed lines enable asynchronous overlap.,n is distinct collective cells in a facet; all 216 cells are represented and incompatible collectives are never pooled.,Rising curves show message-size amortization; the gap between solid and dashed curves shows the measured effect of asynchronous overlap.,"Effective bandwidth is an algorithm-aware derived rate, not a direct physical-link counter.",216,216.0,2026-07-19T15:26:35.557450+00:00,figures/08_collective_bandwidth.png,figures/08_collective_bandwidth.svg,data/08_collective_bandwidth.csv,metadata/08_collective_bandwidth.json
09_distributed_scaling,Distributed-MoE scaling,"[""aggregate_measurements.csv""]","The six end-to-end workload groups with successful measurements at world sizes 2, 4, and 8 (18 cells).",One exact workload trajectory; each trajectory contains three world-size cells.,World size: number of GPUs participating in expert parallelism.,Left: measured tokens/s. Right: 100 × (throughput at p / throughput at 2) / (p / 2).,Each colored line is one complete workload group; color is GPU; the black dashed line is the median across the six groups.,"n is six complete workload groups, not all 198 end-to-end cells; each median contains six group values.",Throughput shows delivered work; 100% efficiency means throughput grew in direct proportion to GPU count relative to the 2-GPU baseline.,Only exact workloads with all three world sizes enter this figure; it does not pool partially supported workload identities.,18,18.0,2026-07-19T15:26:36.322401+00:00,figures/09_distributed_scaling.png,figures/09_distributed_scaling.svg,data/09_distributed_scaling.csv,metadata/09_distributed_scaling.json
10_distributed_phase_shares,Distributed-MoE phase shares,"[""aggregate_measurements.csv""]","All 198 successful end-to-end distributed-MoE cells, summarized separately from the collective microbenchmarks.",One cell-phase share; each of 198 cells contributes five shares that sum to approximately 100%.,"World size: 2, 4, or 8 GPUs.","Within each GPU/mode/world-size group, the median percentage of cell latency assigned to each phase.","Facet is GPU and mode; stacked color is pack, dispatch, expert compute, return, or combine.",n in each facet is distinct end-to-end cells before phase expansion; 198 cells total.,Pack forms routed buffers; dispatch sends them to expert ranks; expert compute runs expert work; return sends outputs back; combine accumulates outputs into token order.,Stacks summarize a heterogeneous successful-cell sample; medians of individual phase shares need not total exactly 100 before plotting.,990,198.0,2026-07-19T15:26:37.439138+00:00,figures/10_distributed_phase_shares.png,figures/10_distributed_phase_shares.svg,data/10_distributed_phase_shares.csv,metadata/10_distributed_phase_shares.json
